Normalized,Raw,Model,field
CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field,Basis 
froehlich,Froehlich,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
froehlichabrahamemanuel17961865,"Froehlich, Abraham Emanuel, 1796-1865",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
froschauerchristophd1564,"Froschauer, Christoph, d. 1564",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
fröhlichabrahamemanuel17961865,"Fröhlich, Abraham Emanuel, 1796-1865",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
fynesclintonohosberthenry18691941,"Fynes-Clinton O. H. (Osbert Henry), 1869-1941",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gabrielizaccaria,"Gabrieli, Zaccaria",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gagliottaalfonso,"Gagliotta, Alfonso",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gaillardfrançoisétienne16961758,"Gaillard, François Étienne, 1696-1758",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gaillardstephanus,"Gaillard, Stephanus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gaisfordthomas17791855,"Gaisford, Thomas, 1779-1855",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
galehenryfl18361869,"Gale, Henry, fl. 1836-1869",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
galeotto,Galeotto,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gallard,Gallard,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gallettigustavocamillo18051868,"Galletti, Gustavo Camillo, 1805-1868",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gallettipaologirolamo,"Galletti, Paolo Girolamo",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gallettipaologirolamod1835,"Galletti, Paolo Girolamo, d. 1835",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
galmettigirolamo,"Galmetti, Girolamo",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
galouzeaudevillepinlouistélesphore18221888,"Galouzeau de Villepin, Louis-Télesphore, 1822-1888",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gambaniccolaniccolai,"Gamba, Niccola Niccolai",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gambriniusbartholduso,"Gambrinius, Bartholdus O.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gandolfiangelo,"Gandolfi, Angelo",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gardnercecildunn,"Gardner, Cecil Dunn",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gardnerjohndunn,"Gardner, John Dunn",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
garrandecoulonjeanphilippe17491816,"Garran de Coulon, Jean-Philippe, 1749-1816",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gasserachillespirmin15051577,"Gasser, Achilles Pirmin, 1505-1577",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gayebenezer17181796,"Gay, Ebenezer, 1718-1796",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
CURR:NO_MATCH:geigerludwig18481919,"Geiger, Ludwig, 1848-1919",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
geisslervalentinfl15381595,"Geissler, Valentin, fl. 1538-1595",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
georgdukeofsaxony14711539,"Georg, Duke of Saxony, 1471-1539",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gerontiusstephanus,"Gerontius, Stephanus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gersdorffgunthervon,"Gersdorff, Gunther von",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gersonjean13631429,"Gerson, Jean, 1363-1429",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gersonjean13631429‏,"Gerson, Jean, 1363-1429‏",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
geudersigismundus,"Geuder, Sigismundus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gherardopaoloactive15431560,"Gherardo, Paolo, active 1543-1560",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
giaccarelloanselmofl15451565,"Giaccarello, Anselmo, fl. 1545-1565",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gilletjosephejosepheugeneb1888,"Gillet, Joseph E. (Joseph Eugene), b. 1888",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
giovanniabatista,Giovanni A. Batista,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
giovannigiorgiomarchesedelmonferrato15301533,"Giovanni Giorgio, marchese del Monferrato, 1530-1533",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
girardcharles18491919,"Girard, Charles, 1849-1919",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
girardusligatorandegavensis,Girardus Ligator Andegavensis,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
giuliarigiambattistacarloconte18101892,"Giuliari, Giambattista Carlo, conte, 1810-1892",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
giuntabernardo14871551,"Giunta, Bernardo, 1487-1551",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
glanvilewilliam,"Glanvile, William",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
glatthaarandreas,"Glatthaar, Andreas",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
glauberg,Glauberg,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gloriadionisioda,"Gloria, Dionisio da",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
godolphinwilliamsir16341696,"Godolphin, William, Sir, 1634?-1696",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
goltgruberchristophorus,"Goltgruber, Christophorus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
goltgruckerchristophorus,"Goltgrucker, Christophorus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gommwilliamm,"Gomm, William M.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gommwilliammaynard17841875,"Gomm, William Maynard, 1784-1875",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gorgonzolaniccolò14621536,"Gorgonzola, Niccolò, 1462-1536",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gorkonov,Gorkonov,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
goyondematignon,Goyon De Matignon,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gozzirolando,"Gozzi, Rolando",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grafdaniel,"Graf, Daniel",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grangiertimoleon,"Grangier, Timoleon",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grantarchibaldsir16961778,"Grant, Archibald, Sir, 1696-1778",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grantarchibaldsir17601820,"Grant, Archibald, Sir, 1760-1820",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grapendorfwilhelmhilmarfreiherrvon,"Grapendorf, Wilhelm Hilmar, Freiherr von",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grapendorffwilhelmhilmarfreiherrvon,"Grapendorff, Wilhelm Hilmar, Freiherr von",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grapettigaspar,"Grapetti, Gaspar",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grassiangelico,"Grassi, Angelico",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gratian12thcentdecretum,"Gratian, 12th cent. Decretum",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grazaniannibale,"Grazani, Annibale",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
greatheadb,"Greathead, B.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
greatheadbertie17591826,"Greathead, Bertie, 1759-1826",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
greeneedithanned1912,"Greene, Edith Anne, d. 1912?",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
greenejohnsmythies18421884,"Greene, John Smythies, 1842-1884",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
greenejohnwollaston18691925,"Greene, John Wollaston, 1869-1925",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
greenejohn18101867,"Greene, John, 1810-1867",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
greenemargarettacatherine18371889,"Greene, Margaretta Catherine, 1837-1889",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
greenhillharold18931968,"Greenhill, Harold, 1893-1968",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gregwwwalterwilson18751959,"Greg, W. W. (Walter Wilson), 1875-1959",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gregorigiovannideactive15thcentury,"Gregori, Giovanni de', active 15th century",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gregorigregoriodeactive14801528,"Gregori, Gregorio de', active 1480-1528",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grestnerwolffgang,"Grestner[?], Wolffgang",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
griffithreglesfeldroberteglesfeld17981850,"Griffith, R. Eglesfeld (Robert Eglesfeld), 1798-1850",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
griscomgenevieveludlow,"Griscom, Genevieve Ludlow",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grognotmarcel,"Grognot, Marcel",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grognotmarcel18901963,"Grognot, Marcel, 1890-1963",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
groligmoriz18731949,"Grolig, Moriz, 1873-1949",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grossifrancesco,"Grossi, Francesco",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grossostefano18241903,"Grosso, Stefano, 1824-1903",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grovesjohnstuart,"Groves, John Stuart",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
grüningerjohann1532,"Grüninger, Johann, -1532?",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gschwindmelchiord1526,"Gschwind, Melchior, d. 1526",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gualandusadovardus,"Gualandus, Adovardus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
guerradomenico16thcent,"Guerra, Domenico, 16th cent.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
guerragiovannibattista,"Guerra, Giovanni Battista",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
guesnon,Guesnon,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
guicciardinifrancesco14831540,"Guicciardini, Francesco, 1483-1540",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
guilford,Guilford,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
guilhelmusbernardus,"Guilhelmus, Bernardus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
guillermus,Guillermus,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
guiodonato,"Guio, Donato",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
guzman,Guzman,Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
gymnichjohannd1596,"Gymnich, Johann, d. 1596",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hadleyfrankl,"Hadley, Frank L.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hadusjohannesbca1488,"Hadus, Johannes, b. ca. 1488",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
haeredesbernardiiuntae,Haeredes Bernardi Iuntae,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
haeredesmelchiorissessae,Haeredes Melchioris Sessae,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
halekhb,"Hale, K. H. B.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
halerhb,"Hale, R. H. B.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hallmargaret,"Hall, Margaret",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
halliwellc,"Halliwell, C.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
halseywalter18681950,"Halsey, Walter, 1868-1950",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hamiltonwilliamalexanderlouisstephendouglashamiltondukeof18451895,"Hamilton, William Alexander Louis Stephen Douglas-Hamilton, Duke of, 1845-1895",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hammerwalter18881966,"Hammer, Walter, 1888-1966",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hamorwilliamallen1887,"Hamor, William Allen, 1887-",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
handyhenry,"Handy, Henry",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
haneyjohnlouis18771960,"Haney, John Louis, 1877-1960",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hanfrobert18941944,"Hanf, Robert, 1894-1944",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hanmerthomassir16771746,"Hanmer, Thomas, Sir, 1677-1746",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
harcourtgeorgesimonharcourtearl17361809,"Harcourt, George Simon Harcourt, Earl, 1736-1809",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hardingwa,"Harding, W. A.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
harleyt,"Harley, T.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
harris,Harris,Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
harrisjames17091780,"Harris, James, 1709-1780",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
harrisonjoseph18101874,"Harrison, Joseph, 1810-1874",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hasemartinvon1901,"Hase, Martin von, 1901-",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hattonchristophersir15401591,"Hatton, Christopher, Sir, 1540-1591",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
haupth,"Haupt, H.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hauslabfranzrittervon17981883,"Hauslab, Franz, Ritter von, 1798-1883",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hawtaynewilliam16801748,"Hawtayne, William, 1680-1748",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
haymnicolafrancesco,"Haym, Nicola Francesco",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
haynol,Haynol,Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hazlittwilliamcarew18341913,"Hazlitt, William Carew, 1834-1913",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heberrichard17731833,"Heber, Richard, 1773-1833",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hedelleantonioseabra,"Hedelle, Antonio Seabra",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heermaleflorisvan,"Heermale, Floris van",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heinrichvonfriemarapproximately12451340,"Heinrich, von Friemar, approximately 1245-1340",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heinsiusdaniel15801655,"Heinsius, Daniel, 1580-1655",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heinsiusnicolaas16201681,"Heinsius, Nicolaas, 1620-1681",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heitzfernandjoseph18911963,"Heitz, Fernand Joseph, 1891-1963",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heitzfernand18911963,"Heitz, Fernand, 1891-1963",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heldenadrianvan,"Helden, Adrian van",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hellevander,"Helle, van der",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
helms,Helms,Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
henricuskoboltusjuriscanonicidoctor,"Henricus Koboltus, Juris Canonici Doctor",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
henryanstey,Henry Anstey,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
henryiiikingoffrance15511589,"Henry III, King of France, 1551-1589",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
henrysinclair,Henry Sinclair,Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
herbersteinjohannbernhardtvongraf16301685,"Herberstein, Johann Bernhardt von, Graf, 1630-1685",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
herbert,Herbert,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hercules,Hercules,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heredidigiovanniguerigli,Heredi di Giovanni Guerigli,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heritiersdejacquesgiunta‏,Heritiers de Jacques Giunta‏,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heroldjohann,"Herold, Johann",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heroltjohann,"Herolt, Johann",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
herpintobiegustave18201900,"Herpin, Tobie-Gustave, 1820?-1900",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hersholtjean18861956,"Hersholt, Jean, 1886-1956",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
herzogaugustbibliothek,Herzog August Bibliothek,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hetzemichael,"Hetze, Michael",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heussiusjo,"Heussius, Jo.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hewetson,Hewetson,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
heyricknathanael16971767,"Heyrick, Nathanael, 1697-1767",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hicksbenjamindoughty18361906,"Hicks, Benjamin Doughty, 1836-1906",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
higmanjohann1500,"Higman, Johann, -1500",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hispanusmichaelarchangelus,"Hispanus, Michael Archangelus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hoarelouisagurney17841836,"Hoare, Louisa Gurney, 1784-1836",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hoaresamuel,"Hoare, Samuel",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hobeusrichardus,"Hobeus, Richardus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hoerobert18391909,"Hoe, Robert, 1839-1909",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hoepliulrico18471935,"Hoepli, Ulrico, 1847-1935",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hoffhalterraphael15251568,"Hoffhalter, Raphael, 1525-1568",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hoffmanconradus,"Hoffman, Conradus",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hofmannusjohannes,"Hofmannus, Johannes",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
holbeinhans14971543,"Holbein, Hans, 1497?-1543",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
holdenedwinbedwinbabcock18611906,"Holden, Edwin B. (Edwin Babcock), 1861-1906",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hollnsteinerfranz,"Hollnsteiner, Franz",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hollwaycalthrophchenrycalthrop,"Hollway-Calthrop, H. C. (Henry Calthrop)",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
holmdenjamesfosterb1919,"Holmden, James Foster, b. 1919",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
holmesjohn,"Holmes, John",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
holyromanemperors,Holy Roman emperors,,Persons,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
holzingerjb,"Holzinger, J. B.",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
holzingerjosephbonaventura18361912,"Holzinger, Joseph Bonaventura, 1836-1912",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
honnelaîtreclaude,"Honnelaître, Claude",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hoombech,Hoombech,,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hopylwolfgang1522,"Hopyl, Wolfgang, -1522",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hornconradfl15651603,"Horn, Conrad, fl. 1565-1603",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hornbycharlesharrystjohn18671946,"Hornby, Charles Harry St. John, 1867-1946",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
horvathgregorius15581597,"Horvath, Gregorius, 1558-1597",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
horvathstansithgregor15581597,"Horvath-Stansith, Gregor, 1558-1597",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hottotrobert18841939,"Hottot, Robert, 1884-1939",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
houghjohnstockton,"Hough, John Stockton",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
houghjohnstockton18451900,"Hough, John Stockton, 1845-1900",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
houghtonrichardmoncktonmilnesbaron18091885,"Houghton, Richard Monckton Milnes, Baron, 1809-1885",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
howardfulkegrevilled1846,"Howard, Fulke Greville, d. 1846",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
huardcyprian,"Huard, Cyprian",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
huardcyprien,"Huard, Cyprien",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
hueberhannsen,"Hueber, Hannsen",Person,Person,Unknown ,Person Unknown ,Transcription | Secondary | Imagery Description | Heraldry Description
